,,
,,
,Time,Suspension
,,
,0,0
,0.0000203,-2.17E-010
,0.0001215429,-7.81E-009
,0.0006279716,-0.000000208
,0.0031601152,-0.00000527
,0.0158208331,-0.0001504757
,0.0375812752,-0.0013807737
,0.0632943835,-0.0067648952
,0.091855563,-0.0215817394
,0.1218038221,-0.0489192241
,0.1484792674,-0.0815311874
,0.1791999739,-0.124521302
,0.2141865165,-0.1770550739
,0.2429725236,-0.2236725377
,0.2758855847,-0.2831511061
,0.3138154304,-0.3607124267
,0.3446735587,-0.4285717495
,0.3836101451,-0.5160040503
,0.4203254767,-0.5986305392
,0.4543575383,-0.6760253114
,0.490648128,-0.7596095564
,0.5269387178,-0.8424916063
,0.5670530629,-0.9302326257
,0.6105857291,-1.0189513388
,0.6495903395,-1.0926628394
,0.6907365918,-1.1639393463
,0.7318828441,-1.2267668709
,0.7770360257,-1.2842100508
,0.8221892073,-1.3293302614
,0.8769624023,-1.3676457881
,0.9256965773,-1.3858129861
,0.9764185722,-1.3885222586
,1.0271405672,-1.3757986602
,1.0805664482,-1.3469995236
,1.1339923293,-1.3035818106
,1.2007637562,-1.2319115468
,1.2627941802,-1.1519963869
,1.3250037317,-1.0627459798
,1.400171027,-0.9488032371
,1.4745453553,-0.8363342289
,1.5443193855,-0.7367849665
,1.6142310737,-0.6479745193
,1.6895469651,-0.5689494054
,1.7893161243,-0.4968595653
,1.8744782159,-0.4677042557
,1.9597767744,-0.4686208772
,2.0356465723,-0.4930824085
,2.1087375969,-0.5347760734
,2.1760905251,-0.5861664469
,2.2426521412,-0.6457456872
,2.3139539009,-0.7156635827
,2.3894680641,-0.7920134794
,2.4649822273,-0.8659778873
,2.5425326594,-0.9350319074
,2.6182879032,-0.9918372584
,2.695311885,-1.0360299642
,2.7772565169,-1.0658155678
,2.8707588611,-1.0771589705
,2.9567052579,-1.0669156149
,3.0426516546,-1.0392017587
,3.1173976872,-1.0034721376
,3.1921437198,-0.9598275506
,3.2720851112,-0.9079861692
,3.3443201448,-0.8595561689
,3.4158932258,-0.8130852583
,3.4894445604,-0.7693178892
,3.5717651352,-0.7279982589
,3.6494736127,-0.6984647815
,3.7271820901,-0.6794540138
,3.8153948606,-0.6713283403
,3.894172888,-0.6757737187
,3.9704893469,-0.6897538176
,4.0453143005,-0.7111340011
,4.1210945966,-0.7388725524
,4.2016752043,-0.7726410367
,4.2944987714,-0.8137506785
,4.3776279678,-0.8494346514
,4.4607571642,-0.8814721041
,4.53596507,-0.9055422807
,4.6111729758,-0.9237004371
,4.6894077994,-0.9356592558
,4.7632094785,-0.9400350557
,4.8370185785,-0.9380160147
,4.9142683924,-0.9294783181
,5.0018835715,-0.9131701396
,5.0828585727,-0.8933129035
,5.1638335739,-0.8706145774
,5.2609027274,-0.8421491028
,5.3396027692,-0.8199289968
,5.4173633517,-0.8003147848
,5.488697528,-0.7851664755
,5.5582375075,-0.7738676136
,5.628667588,-0.7661250765
,5.7071081473,-0.7622373632
,5.7812997948,-0.7630539819
,5.8554914423,-0.7678801882
,5.9378546022,-0.7773792581
,6.0160265594,-0.7894409433
,6.0934762676,-0.8034670277
,6.1726949251,-0.818755845
,6.2569648265,-0.8349742173
,6.3512086171,-0.851490566
,6.4653118839,-0.8674572532
,6.5103793668,-0.8721025327
,6.5554468497,-0.8756079641
,6.6188145998,-0.878898958
,6.6879428549,-0.8800647204
,6.7614718263,-0.8784724163
,6.8266764762,-0.8750768272
,6.8932727645,-0.8697401417
,6.9698549681,-0.8618654965
,7.0444294275,-0.8529849532
,7.1190038869,-0.8434129556
,7.1942594331,-0.8338122729
,7.2696840061,-0.8246798618
,7.348877363,-0.8163130465
,7.4380417045,-0.8088610681
,7.5279893883,-0.8039918455
,7.6179370722,-0.8019166308
,7.6943764217,-0.8023949981
,7.7708157712,-0.8047524713
,7.8533088291,-0.8090249721
,7.9251020037,-0.8140143155
,7.9957861989,-0.8195495267
,8.0660072072,-0.8255201907
,8.1415571066,-0.8319337381
,8.2405864616,-0.8397916146
,8.3271387475,-0.8455730085
,8.4132134946,-0.8499224298
,8.4905561164,-0.8524786834
,8.5647771666,-0.8535217185
,8.632656485,-0.8534950341
,8.6988584833,-0.8523779526
,8.7678521233,-0.850381852
,8.8549067332,-0.8467881517
,8.9363752297,-0.8426213185
,9.0139876725,-0.8383419909
,9.0875461274,-0.8341374747
,9.1589499924,-0.8303326846
,9.2310901662,-0.8267919863
,9.3094363926,-0.8236285659
,9.4120775995,-0.8207084897
,9.5018608168,-0.8194984278
,9.5933930359,-0.8194946683
,9.6736937692,-0.8205009203
,9.7567002659,-0.82240162
,9.8234780573,-0.8242867543
,9.8897563386,-0.8266654587
,9.9502360481,-0.8288218534
,10,-0.8306617583
